Code,Name,Amount
A.02.10.001,"Teas leaves, dry and/or fermented, and similar",2.9235
A.16.01.008,"Thyme",0.0098
I.16.01.024,"Thyme, dry",0.0012
A.08.09.011,"Tofu",0.1538
A.16.05.006,"Tomato ketchup and related sauces",2.9113
I.02.14.014,"Tomato paste",0.1336
I.16.08.010.009,"Tomato-containing cooked sauces",14.4446
A.02.03.001,"Tomatoes and similar-",29.5776
A.01.04.005.009,"Tortilla",1.4318
A.08.06.005,"Traditional sour milk products",0.2035
I.07.01.006.002,"Trouts",0.2327
A.02.16.004,"Truffles",0.0006
A.06.02.002,"Turkey meat, dried",9.189
A.16.02.031,"Turmeric roots",0.0029
A.02.01.012,"Turnips",0.2869
I.16.08.003.009,"Tzatziki",0.0198
A.16.09.003,"Vanillin flavour",0.0015
A.06.06.010,"Veal kidney",0.0478
A.06.06.002,"Veal liver",0.0128
A.19.10.001,"Vegetables-based cooked sauce",0.2686
A.16.05.005,"Vinegar, apple",0.0275
I.01.07.002.016,"Wafers",0.2711
A.01.07.001.037,"Waffles",0.9528
A.11.04.019,"Walnut oil",0.0228
A.04.03.012,"Walnuts",0.0413
A.07.06.004,"Water snails, conches and whelks",0.0295
A.02.03.011,"Watermelons and similar-",0.9508
A.06.09.001.004,"Weisswurst",0.4317
A.01.04.001.004,"Wheat bread and rolls, brown or wholemeal",2.3824
A.01.04.001.007,"Wheat bread and rolls, semi-brown",1.1305
A.01.03.001.003,"Wheat flour white",1.8638
A.01.02.001.001,"Wheat germ",0.0018
A.01.03.001.012,"Wheat semolina",4.378
A.01.03.001.004,"Wheat wholemeal flour",0.0027
A.01.06.004.005,"Wheat, popped",0.087
A.14.06.002,"Whisky",0.0028
I.10.03.009.002,"White chocolate",0.1519
A.10.04.014,"White nougat mass",0.0177
A.10.01.001,"White sugar",2.1965
I.07.01.017.002,"Whiting",0.2457
A.06.03.001,"Wild boar fresh meat",0.0393
A.14.02.001,"Wine-like drinks",0.2488
A.05.04.002,"Wine grapes and similar-",0.5857
A.14.02.003,"Wine, red",0.0042
A.02.05.016,"Witloofs and similar-",0.7236
A.08.06.001.002,"Yoghurt, cow milk",60.5133
A.08.06.002.002,"Yoghurt drinks, including sweetened and/or flavoured variants",5.4819
A.08.06.003,"Yoghurt, sheep milk",0.2028
