Code,Name,Amount
A.06.09.006.001,"Salami-type sausage",0.5476
I.07.01.006.001,"Smoked salmon",6.4886
A.16.05.013,"Salsa",0.5204
A.16.04.001,"Salt",0.6774
A.07.01.003,"Sardines and sardine-type fishes",0.3562
A.16.05.011,"Teriyaki sauce",1.2364
I.10.05.005,"Savoury sauces",1.4333
A.07.05.010,"Scallops, pectens",0.097
A.01.07.001.032,"Scones and similar",6.8389
A.07.01.011,"Sea bass",0.4883
A.07.01.026,"Sea bream",0.0385
A.11.04.015,"Sesame seed oil, edible",0.0108
A.04.04.004,"Sesame seeds",0.0691
A.02.02.003,"Shallots and similar-",0.0376
A.06.06.012,"Sheep kidney",0.0763
A.06.06.004,"Sheep other slaughtering products",0.2865
A.14.03.002,"Sherry",0.1639
I.19.06.004.001,"Shrimp sauce",0.1048
A.07.04.005,"White shrimp",1.3743
A.13.01.002.010,"Soft drinks with minor amounts of fruits or flavours",35.926
A.13.01.002.011,"Soft drink, with fruit juice (fruit content below the minimum for nectars)",8.7808
I.08.08.190,"Soft-ripened cheese with white and blue mould (cambozola type)",0.0632
I.08.08.189,"Soft-ripened cheese with natural rind and other soft-ripened cheeses",0.6586
A.07.01.022,"Yellowfin sole",0.4813
A.20.02.005,"Water-based ice creams",0.3928
A.08.05.003.002,"Sour cream, plain",0.178
A.11.04.016,"Soya bean oil, refined",0.0006
A.08.09.008,"Soya drink",2.2504
A.06.12.001,"Soyabean-based meat imitates",0.0353
A.08.09.009,"Soya yoghurt",0.7255
A.04.02.012,"Soyabeans for oil",0.0056
A.01.07.002.008,"Speculaas",0.323
A.01.07.001.034,"Sponge cake",3.4314
A.07.01.002,"Sprat",0.0255
A.02.02.004,"Spring onions",0.6499
A.07.05.001,"Squids, cuttlefishes, octopuses",0.0604
A.01.07.002.014,"Sticks, salty",0.0781
A.16.04.008,"Stock cube or granulate, beef",0.0275
A.16.04.010,"Stock cubes or granulate, chicken",0.0757
A.16.04.012,"Vegetable savoury extracts",0.0843
A.14.01.001,"Stout beer",55.7942
A.05.04.003,"Wild strawberries",2.165
A.10.06.005,"Syrups (molasses and other syrups)",0.0157
A.11.04.017,"Sunflower seed oil, edible",0.0866
A.04.04.005,"Sunflower seeds",0.135
A.02.01.010,"Swedes",0.187
A.01.06.003.002,"Sweet bars and other formed sweet masses",0.0887
A.02.03.012,"Sweet corn canned",4.0441
A.03.02.001,"Sweet potatoes",0.4314
A.07.01.036,"Swordfish",0.0305
A.05.04.001,"Table grapes and similar-",3.351
A.03.02.003,"Tapioca starch-based snacks",0.1836
A.16.05.014,"Tartar sauce",0.0818
A.16.01.008,"Thyme",0.0008
I.16.01.024,"Thyme, dry",0.0086
A.10.04.006,"Toffee",0.0341
A.08.09.011,"Tofu",0.1344
A.16.07.001,"Tomato chutney",0.033
A.16.05.006,"Tomato ketchup and related sauces",1.5089
A.02.14.003,"Tomato puree",0.4708
I.16.08.010.009,"Tomato-containing cooked sauces",9.4711
A.02.03.001,"Tomatoes and similar-",23.9501
A.01.04.005.009,"Tortilla",3.2807
A.20.01.003,"Tortilla chips",0.4947
I.07.01.006.002,"Trouts",0.5047
A.07.01.014,"Tuna and bonito (generic)",3.7856
A.16.02.031,"Turmeric roots",0.0205
A.02.01.012,"Turnips",4.6157
A.14.06.004,"Vodka and vodka-like spirits",6.0703
A.06.06.002,"Veal liver",0.0098
A.19.07.001,"Vegetables and vegetable products",0.0196
A.14.03.001,"Vermouth",0.0161
A.16.05.004,"Vinegar, wine",0.2573
A.18.02.001,"Vitamins",0.0515
A.01.07.001.037,"Waffles",0.0353
A.11.04.019,"Walnut oil",0.0012
A.04.03.012,"Walnuts",0.0878
A.02.05.015,"Watercresses",0.0055
A.02.03.011,"Watermelons and similar-",0.2069
A.01.03.001.008,"Wheat bran",0.0165
A.01.04.001.004,"Wheat bread and rolls, brown or wholemeal",42.6001
A.01.03.001.003,"Wheat flour white",3.6972
A.01.02.001.001,"Wheat germ",0.0279
A.08.04.002.002,"Whey powder",0.0025
A.08.04.001.001,"Whey protein",0.456
I.10.03.009.002,"White chocolate",0.1103
A.10.01.001,"White sugar",6.0746
I.07.01.017.002,"Whiting",0.3982
A.14.02.001,"Wine-like drinks",25.0993
A.03.02.004,"Yams",0.0248
A.16.10.001,"Yeast cultures",0.0022
A.16.04.015,"Yeast extract",0.0525
A.08.06.002.002,"Yoghurt drinks, including sweetened and/or flavoured variants",5.2686
A.08.06.001.002,"Yoghurt, cow milk",26.1444
