Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2767,"Molluscs, Other",2018,2018,kg,6.01,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2767,"Molluscs, Other",2019,2019,kg,5.5,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2767,"Molluscs, Other",2020,2020,kg,5.49,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2767,"Molluscs, Other",2021,2021,kg,5.49,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2769,"Aquatic Animals, Others",2017,2017,kg,0.02,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2769,"Aquatic Animals, Others",2018,2018,kg,0.02,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2769,"Aquatic Animals, Others",2019,2019,kg,0.01,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2769,"Aquatic Animals, Others",2020,2020,kg,0.01,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2769,"Aquatic Animals, Others",2021,2021,kg,0.01,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2017,2017,kg,14.96,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2018,2018,kg,14.89,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2019,2019,kg,14.49,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2020,2020,kg,14.73,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2021,2021,kg,14.04,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2017,2017,kg,0.82,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2018,2018,kg,0.82,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2019,2019,kg,0.84,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2020,2020,kg,0.95,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2021,2021,kg,0.71,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2017,2017,kg,44.68,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2018,2018,kg,45.6,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2019,2019,kg,46.72,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2020,2020,kg,44.06,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2021,2021,kg,43.26,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2017,2017,kg,18.06,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2018,2018,kg,18.21,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2019,2019,kg,17.38,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2020,2020,kg,18.11,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2021,2021,kg,17.63,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2017,2017,kg,2.06,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2018,2018,kg,1.79,E,Estimated value
