SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
21123,"meat of geese, fresh or chilled",Meat,RoW,0.081,0.057,0
21116,"meat of goat, fresh or chilled",Meat,RoW,1,0.057,0
21114,"meat of rabbits and hares, fresh or chilled",Meat,FR,0.36,0.057,0
21114,"meat of rabbits and hares, fresh or chilled",Meat,IT,0.538,0.057,0
21114,"meat of rabbits and hares, fresh or chilled",Meat,RoW,0.102,0.057,0
21115,"meat of sheep, fresh or chilled",Meat,IE,0.927,0.057,0
21115,"meat of sheep, fresh or chilled",Meat,RoW,0.073,0.057,0
21124,"meat of turkeys, fresh or chilled",Meat,IE,0.72,0.057,0
21124,"meat of turkeys, fresh or chilled",Meat,RoW,0.28,0.057,0
0118,Millet,Cereals,FR,0.253,0.045,0
0118,Millet,Cereals,RU,0.324,0.045,0
0118,Millet,Cereals,UA,0.138,0.045,0
0118,Millet,Cereals,RoW,0.285,0.045,0
01199.02,Mixed grain,Cereals,GB,0.826,0.045,0
01199.02,Mixed grain,Cereals,RoW,0.174,0.045,0
01270,Mushrooms and truffles,Mushrooms,IE,0.958,0.07,0
01270,Mushrooms and truffles,Mushrooms,RoW,0.042,0.07,0
01442,Mustard seed,Seeds,CA,0.55,0.06,0
01442,Mustard seed,Seeds,RoW,0.45,0.06,0
02910,natural honey,Other,HU,0.117,0.06,0
02910,natural honey,Other,RoW,0.883,0.06,0
01653,"nutmeg, mace, cardamoms, raw",Spices,GT,0.351,0.07,0
01653,"nutmeg, mace, cardamoms, raw",Spices,ID,0.482,0.07,0
01653,"nutmeg, mace, cardamoms, raw",Spices,RoW,0.167,0.07,0
0117,Oats,"Cereals, incl feed",IE,0.979,0.045,0
0117,Oats,"Cereals, incl feed",RoW,0.021,0.045,0
01491.02,Oil palm seeds,"Oil crops, tree",IN,0.108,0.06,0
01491.02,Oil palm seeds,"Oil crops, tree",MY,0.141,0.06,0
01491.02,Oil palm seeds,"Oil crops, tree",ET,0.109,0.06,0
01491.02,Oil palm seeds,"Oil crops, tree",RoW,0.642,0.06,0
01450,Olives,"Oil crops, tree",IT,0.284,0.06,0
01450,Olives,"Oil crops, tree",ES,0.587,0.06,0
01450,Olives,"Oil crops, tree",RoW,0.129,0.06,0
01253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,IE,0.123,0.07,0
01253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,NL,0.386,0.07,0
01253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,ES,0.181,0.07,0
