RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.04.03.011,Pistachios (Pistachia vera),Rest of World,RoW,0.142,0.06,01371
A.04.03.011,Pistachios (Pistachia vera),Iran,IR,0.179,0.06,01375
A.04.03.011,Pistachios (Pistachia vera),USA,US,0.756,0.06,01375
A.04.03.011,Pistachios (Pistachia vera),Rest of World,RoW,0.066,0.06,01375
A.04.03.012,Walnuts,France,FR,0.785,0.06,01376
A.04.03.012,Walnuts,Rest of World,RoW,0.215,0.06,01376
A.04.03.013,Kola nut (Cola spp.),Cote d'Ivoire,CI,0.948,0.06,01379.02
A.04.03.013,Kola nut (Cola spp.),Rest of World,RoW,0.052,0.06,01379.02
A.04.04.001,Linseeds,Canada,CA,0.281,0.06,01441
A.04.04.001,Linseeds,France,FR,0.113,0.06,01441
A.04.04.001,Linseeds,Kazakhstan,KZ,0.128,0.06,01441
A.04.04.001,Linseeds,Russia,RU,0.337,0.06,01441
