SUA Code,SUA Name,Producer Country Name,Producer Country Code,Share,Waste
"01194","Quinoa","Rest of World","RoW",0.023,0.06
"01443","rapeseed or colza seed","France","FR",0.13,0.06
"01443","rapeseed or colza seed","Germany","DE",0.132,0.06
"01443","rapeseed or colza seed","Ireland","IE",0.125,0.06
"01443","rapeseed or colza seed","Poland","PL",0.171,0.06
"01443","rapeseed or colza seed","United Kingdom","GB",0.144,0.06
"01443","rapeseed or colza seed","Rest of World","RoW",0.298,0.06
"01353.01","Raspberries","Morocco","MA",0.129,0.07
"01353.01","Raspberries","Spain","ES",0.581,0.07
"01353.01","Raspberries","Rest of World","RoW",0.29,0.07
"02211","raw milk of cattle","Ireland","IE",0.784,0.017
"02211","raw milk of cattle","Rest of World","RoW",0.216,0.017
"02291","raw milk of sheep","Rest of World","RoW",1,0.017
"0113","Rice","United Kingdom","GB",0.826,0.045
"0113","Rice","Rest of World","RoW",0.174,0.045
"0116","Rye","France","FR",0.571,0.045
"0116","Rye","Ireland","IE",0.359,0.045
"0116","Rye","Rest of World","RoW",0.069,0.045
"01444","Sesame seed","Guatemala","GT",0.156,0.06
"01444","Sesame seed","India","IN",0.398,0.06
"01444","Sesame seed","Rest of World","RoW",0.446,0.06
"0114","Sorghum","France","FR",0.815,0.045
"0114","Sorghum","Rest of World","RoW",0.185,0.045
"01344.01","Sour cherries","Poland","PL",0.99,0.07
"01344.01","Sour cherries","Rest of World","RoW",0.01,0.07
"0141","Soya beans","Argentina","AR",0.405,0.06
"0141","Soya beans","Brazil","BR",0.316,0.06
"0141","Soya beans","USA","US",0.226,0.06
"0141","Soya beans","Rest of World","RoW",0.053,0.06
"01215","Spinach","France","FR",0.252,0.07
"01215","Spinach","Spain","ES",0.609,0.07
"01215","Spinach","Rest of World","RoW",0.139,0.07
"01354","Strawberries","Ireland","IE",0.815,0.07
"01354","Strawberries","Rest of World","RoW",0.185,0.07
"01801","Sugar beet","France","FR",0.203,0.045
"01801","Sugar beet","United Kingdom","GB",0.282,0.045
"01801","Sugar beet","Rest of World","RoW",0.516,0.045
"01445","Sunflower seed","Bulgaria","BG",0.189,0.06
"01445","Sunflower seed","France","FR",0.129,0.06
"01445","Sunflower seed","Romania","RO",0.141,0.06
"01445","Sunflower seed","Russia","RU",0.174,0.06
"01445","Sunflower seed","Ukraine","UA",0.123,0.06
"01445","Sunflower seed","Rest of World","RoW",0.244,0.06
"01530","Sweet potatoes","USA","US",0.843,0.24
"01530","Sweet potatoes","Rest of World","RoW",0.157,0.24
"01324","Tangerines, mandarins, clementines","Peru","PE",0.225,0.07
"01324","Tangerines, mandarins, clementines","South Africa","ZA",0.152,0.07
"01324","Tangerines, mandarins, clementines","Spain","ES",0.48,0.07
"01324","Tangerines, mandarins, clementines","Rest of World","RoW",0.144,0.07
"01234","Tomatoes, average","Italy","IT",0.338,0.07
"01234","Tomatoes, average","Netherlands","NL",0.126,0.07
"01234","Tomatoes, average","Poland","PL",0.104,0.07
"01234","Tomatoes, average","Spain","ES",0.175,0.07
"01234","Tomatoes, average","Rest of World","RoW",0.256,0.07
"01191","Triticale","France","FR",0.657,0.045
"01191","Triticale","Germany","DE",0.182,0.045
"01191","Triticale","Poland","PL",0.101,0.045
"01191","Triticale","Rest of World","RoW",0.06,0.045
"01929.02","True hemp, raw or retted","United Kingdom","GB",0.826,0.06
"01929.02","True hemp, raw or retted","Rest of World","RoW",0.174,0.06
"01376","Walnuts, in shell","China","CN",0.202,0.06
"01376","Walnuts, in shell","USA","US",0.275,0.06
"01376","Walnuts, in shell","Rest of World","RoW",0.524,0.06
"01221","Watermelons","Brazil","BR",0.128,0.07
"01221","Watermelons","Spain","ES",0.604,0.07
"01221","Watermelons","Rest of World","RoW",0.268,0.07
"01709.01","Vetches","Rest of World","RoW",1,0.06
"0111","Wheat, average","France","FR",0.134,0.045
"0111","Wheat, average","Ireland","IE",0.383,0.045
"0111","Wheat, average","United Kingdom","GB",0.201,0.045
"0111","Wheat, average","Rest of World","RoW",0.281,0.045
"01319","Other tropical fruits, n.e.c.","Mexico","MX",0.603,0.07
"01319","Other tropical fruits, n.e.c.","Senegal","SN",0.106,0.07
"01319","Other tropical fruits, n.e.c.","Thailand","TH",0.18,0.07
"01319","Other tropical fruits, n.e.c.","Rest of World","RoW",0.111,0.07
"01379.90","Nuts nes","China","CN",0.121,0.06
"01379.90","Nuts nes","Turkey","TR",0.323,0.06
"01379.90","Nuts nes","Rest of World","RoW",0.556,0.06
"01620","Tea leaves","Sri Lanka","LK",0.171,0.07
"01620","Tea leaves","India","IN",0.17,0.07
"01620","Tea leaves","Kenya","KE",0.447,0.07
"01620","Tea leaves","Rest of World","RoW",0.212,0.07
"01655","Cinnamon and cinnamon-tree flowers, raw","Rest of World","RoW",1,0.07
"01656","Cloves (whole stems), raw","Sri Lanka","LK",0.137,0.07
"01656","Cloves (whole stems), raw","Comoros","KM",0.289,0.07
"01656","Cloves (whole stems), raw","Indonesia","ID",0.148,0.07
"01656","Cloves (whole stems), raw","Madagascar","MG",0.369,0.07
"01656","Cloves (whole stems), raw","Rest of World","RoW",0.057,0.07
"01657","Ginger, raw","Rest of World","RoW",1,0.07
"01658","Water buffalo milk","Ireland","IE",0.784,0.017
"01658","Water buffalo milk","Rest of World","RoW",0.216,0.017
"02212","Vanilla, raw","Madagascar","MG",0.81,0.07
