RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
"A.02.04.001","Broccoli","Spain","ES",0.63,0.07,01213
"A.02.04.001","Broccoli","Rest of World","RoW",0.162,0.07,01213
"A.02.04.002","Cauliflowers","Brazil","BR",0.208,0.07,01213
"A.02.04.002","Cauliflowers","Spain","ES",0.63,0.07,01213
"A.02.04.002","Cauliflowers","Rest of World","RoW",0.162,0.07,01213
"A.02.04.003","Brussels sprouts","Germany","DE",0.396,0.07,01212
"A.02.04.003","Brussels sprouts","Sweden","SE",0.365,0.07,01212
"A.02.04.003","Brussels sprouts","Rest of World","RoW",0.239,0.07,01212
"A.02.04.004","Head cabbages","Germany","DE",0.396,0.07,01212
"A.02.04.004","Head cabbages","Sweden","SE",0.365,0.07,01212
"A.02.04.004","Head cabbages","Rest of World","RoW",0.239,0.07,01212
"A.02.04.005","Chinese cabbages","Germany","DE",0.396,0.07,01212
"A.02.04.005","Chinese cabbages","Sweden","SE",0.365,0.07,01212
"A.02.04.005","Chinese cabbages","Rest of World","RoW",0.239,0.07,01212
"A.02.04.006","Kales and similar-","Germany","DE",0.396,0.07,01212
"A.02.04.006","Kales and similar-","Sweden","SE",0.365,0.07,01212
"A.02.04.006","Kales and similar-","Rest of World","RoW",0.239,0.07,01212
"A.02.04.007","Kohlrabies","Germany","DE",0.396,0.07,01212
"A.02.04.007","Kohlrabies","Sweden","SE",0.365,0.07,01212
"A.02.04.007","Kohlrabies","Rest of World","RoW",0.239,0.07,01212
"A.02.05.001","Lamb's lettuces","Spain","ES",0.462,0.07,01214
"A.02.05.001","Lamb's lettuces","Sweden","SE",0.394,0.07,01214
"A.02.05.001","Lamb's lettuces","Rest of World","RoW",0.143,0.07,01214
"A.02.05.002","Head lettuces","Spain","ES",0.462,0.07,01214
"A.02.05.002","Head lettuces","Sweden","SE",0.394,0.07,01214
"A.02.05.002","Head lettuces","Rest of World","RoW",0.143,0.07,01214
"A.02.05.003","Crisp lettuces","Spain","ES",0.462,0.07,01214
"A.02.05.003","Crisp lettuces","Sweden","SE",0.394,0.07,01214
"A.02.05.003","Crisp lettuces","Rest of World","RoW",0.143,0.07,01214
"A.02.05.004","Escaroles","Spain","ES",0.462,0.07,01214
"A.02.05.004","Escaroles","Sweden","SE",0.394,0.07,01214
"A.02.05.004","Escaroles","Rest of World","RoW",0.143,0.07,01214
"A.02.05.005","Cresses","Germany","DE",0.396,0.07,01212
"A.02.05.005","Cresses","Sweden","SE",0.365,0.07,01212
"A.02.05.005","Cresses","Rest of World","RoW",0.239,0.07,01212
"A.02.05.006","Land cresses","Germany","DE",0.396,0.07,01212
"A.02.05.006","Land cresses","Sweden","SE",0.365,0.07,01212
"A.02.05.006","Land cresses","Rest of World","RoW",0.239,0.07,01212
"A.02.05.007","Roman rocket","Germany","DE",0.396,0.07,01212
"A.02.05.007","Roman rocket","Sweden","SE",0.365,0.07,01212
"A.02.05.007","Roman rocket","Rest of World","RoW",0.239,0.07,01212
"A.02.05.010","Spinaches","Denmark","DK",0.111,0.07,01215
"A.02.05.010","Spinaches","Italy","IT",0.487,0.07,01215
"A.02.05.010","Spinaches","Spain","ES",0.243,0.07,01215
"A.02.05.010","Spinaches","Rest of World","RoW",0.159,0.07,01215
"A.02.05.012","Purslanes","Denmark","DK",0.111,0.07,01215
"A.02.05.012","Purslanes","Italy","IT",0.487,0.07,01215
"A.02.05.012","Purslanes","Spain","ES",0.243,0.07,01215
"A.02.05.012","Purslanes","Rest of World","RoW",0.159,0.07,01215
"A.02.05.013","Chards","Sweden","SE",0.758,0.045,01801
"A.02.05.013","Chards","Rest of World","RoW",0.242,0.045,01801
"A.02.05.014","Grape leaves","Spain","ES",0.108,0.07,01359.90
"A.02.05.014","Grape leaves","Turkey","TR",0.104,0.07,01359.90
"A.02.05.014","Grape leaves","Rest of World","RoW",0.788,0.07,01359.90
"A.02.05.015","Watercresses","Germany","DE",0.396,0.07,01212
