Long Code,Name,Short Code,,,,,,,
"A.01.06.001.002","Corn flakes","A00DD",,,,"Processed maize-based flakes","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.003","Corn flakes and nuts","A00DD#F04.A014C",,,,"Processed maize-based flakes#nuts","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.004","Corn flakes with honey and nuts","A00DD#F04.A014C$F08.A03J",,,,"Processed maize-based flakes#nuts$honey","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.005","Corn flakes with honey and sugar","A00DD#F08.A033J$F08.A032H",,,,"Processed maize-based flakes#honey$sugar","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.006","Corn flakes with sugar ","A00DD#F08.A032H",,,,"Processed maize-based flakes#sugar","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.007","Millet flakes","A00DE#F16.A07LG",,,,"Millet breakfast cereals#flaked","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.008","Mixed cereal flakes","A00EM",,,,"Mixed cereal flakes","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.009","Oat bran flakes","A00DK",,,,"Oat high-bran rolled flakes","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.010","Oat bran flakes, with fruits","A00DK#F04.A01QF",,,,"Oat high-bran rolled flakes#mixed dried fruits","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.011","Oat flakes","A00DN",,,,"Processed oat-based flakes","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.012","Oat flakes with fruits","A00DN#F04.A01QF",,,,"Processed oat-based flakes#mixed dried fruits","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.013","Oat flakes, instant","A00DN#F16.A07XZ",,,,"Processed oat-based flakes#instantised","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.014","Oat flakes, wholemeal","A00DK",,,,"Oat high-bran rolled flakes","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.015","Rice and wheat flakes with chocolate","A00EM#F26.A07XE$F04.A034F",,,,"Processed mixed cereal-based flakes#other (wheat-rice)$chocolate","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.016","Rice flakes","A00DS",,,,"Processed rice-based flakes","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.017","Rice flakes and chocolate","A00DS#F04.A034F",,,,"Processed rice-based flakes#chocolate","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.018","Rye flakes","A00DY",,,,"Processed rye-based flakes","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.019","Spelt flakes","A00EF",,,,"Processed wheat-based flakes","Included in another FoodEx code",,
"A.01.06.001.020","Wheat flakes","A00EF",,,,"Processed wheat-based flakes","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.021","Wheat flakes with chocolate and honey","A00EF#F04.A034F$F08.A033J",,,,"Processed wheat-based flakes#chocolate$honey","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.022","Wheat flakes with fruits and honey","A00EF#F04.A01QF$F08.A033J",,,,"Processed wheat-based flakes #mixed dried fruits$honey","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.023","Wheat flakes with sugar","A00EF#F08.A02H",,,,"Processed wheat-based flakes #sugar","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.024","Wheat germs flakes","A00EC",,,,"Wheat germs rolled flakes","Exact matching of codes between FoodEx1 and FoodEx2",,
